time_s,var1,var2,var3,var4,var5,var6,var7,var8
0.46667,66.9411,-36.1183,-51.0361,56.4338,84.5887,-67.2553,23.2233,-67.9902
0.47083,66.8620,-36.2830,-51.1113,56.4328,84.6962,-67.2683,23.2610,-67.9148
0.47500,66.9022,-36.4250,-51.1566,56.4271,84.7594,-67.2739,23.3059,-67.8731
0.47917,66.7532,-36.6493,-51.2125,56.4189,84.8198,-67.2730,23.2746,-67.8239
0.48333,66.6739,-36.7888,-51.2879,56.4120,84.9097,-67.2842,23.3297,-67.7812
0.48750,66.8979,-36.8810,-51.3151,56.4062,84.9942,-67.2917,23.3163,-67.7228
0.49167,66.5586,-37.1492,-51.3553,56.3955,85.0023,-67.3002,23.3639,-67.6738
0.49583,66.7266,-37.1829,-51.4379,56.3756,85.0891,-67.3166,23.3811,-67.6156
0.50000,67.0387,-37.3767,-51.4048,56.3798,85.1451,-67.3251,23.4060,-67.5508
0.50417,66.9831,-37.4594,-51.4063,56.3887,85.1679,-67.3314,23.4012,-67.4685
0.50833,66.9295,-37.5612,-51.4462,56.4193,85.2244,-67.3278,23.4102,-67.4169
0.51250,66.8437,-37.6762,-51.4996,56.4180,85.2758,-67.3355,23.4662,-67.3693
0.51667,66.8274,-37.7631,-51.5104,56.4340,85.3288,-67.3450,23.4571,-67.2903
0.52083,66.8185,-37.8635,-51.5319,56.4433,85.3822,-67.3520,23.4989,-67.2348
0.52500,66.8292,-37.9548,-51.5608,56.4551,85.4257,-67.3612,23.5794,-67.2299
0.52917,66.8282,-38.0535,-51.5659,56.4997,85.4733,-67.3684,23.5019,-67.0822
0.53333,66.8518,-38.1350,-51.5649,56.5179,85.5209,-67.3690,23.5669,-67.0681
0.53750,66.8852,-38.2153,-51.5645,56.6044,85.5659,-67.3735,23.5172,-66.9315
0.54167,66.8603,-38.3338,-51.5780,56.6203,85.5930,-67.3776,23.5849,-66.9163
0.54583,66.9164,-38.3972,-51.5559,56.6651,85.6324,-67.3907,23.5746,-66.8104
0.55000,66.9840,-38.4587,-51.5492,56.6787,85.6760,-67.3873,23.6468,-66.8137
0.55417,67.0673,-38.5331,-51.5203,56.7656,85.7261,-67.4033,23.5927,-66.6623
0.55833,67.1694,-38.5554,-51.5134,56.7843,85.7663,-67.4013,23.6734,-66.6512
0.56250,67.2723,-38.6035,-51.4695,56.8924,85.8083,-67.4143,23.6097,-66.4895
0.56667,67.3818,-38.6307,-51.4336,57.0068,85.8440,-67.4154,23.5686,-66.3537
0.57083,67.5098,-38.6630,-51.3942,57.0207,85.8835,-67.4150,23.6536,-66.3465
0.57500,67.6416,-38.6849,-51.3512,57.1396,85.9210,-67.4266,23.5990,-66.1873
0.57917,68.2762,-38.4517,-51.3098,57.2344,86.0238,-67.4297,23.5657,-66.0748
0.58333,68.3491,-38.4890,-51.2562,57.2682,86.0484,-67.4340,23.6365,-66.0223
0.58750,68.4468,-38.5131,-51.2014,57.3700,86.0749,-67.4382,23.5674,-65.9140
0.59167,68.5724,-38.5482,-51.1456,57.4245,86.1020,-67.4432,23.5920,-65.8480
0.59583,68.7123,-38.5604,-51.0800,57.4440,86.1230,-67.4442,23.6796,-65.8228
0.60000,69.0501,-38.4917,-51.0112,57.5630,86.1797,-67.4507,23.6253,-65.6617
0.60417,69.1915,-38.5076,-50.9406,57.5809,86.1845,-67.4533,23.7182,-65.6371
0.60833,69.6459,-38.3755,-50.8642,57.7021,86.2502,-67.4579,23.6179,-65.4844
0.61250,69.7711,-38.3820,-50.7844,57.7156,86.2514,-67.4581,23.7227,-65.4733
0.61667,69.9211,-38.3913,-50.7055,57.8162,86.2598,-67.4661,23.6736,-65.3093
0.62083,70.3911,-38.2589,-50.6306,57.8308,86.3134,-67.4667,23.7902,-65.2940
0.62500,70.5126,-38.2866,-50.5428,57.9444,86.3291,-67.4714,23.7166,-65.0925
0.62917,70.7878,-38.2278,-50.4602,57.9571,86.3653,-67.4741,23.8440,-65.0821
0.63333,70.9261,-38.2448,-50.3770,58.0500,86.3622,-67.4767,23.7266,-64.9331
0.63750,71.3986,-38.0094,-50.3301,58.0594,86.5705,-67.4789,23.8595,-64.9209
0.64167,71.4955,-38.0371,-50.2427,58.1632,86.5724,-67.4824,23.8092,-64.7199
0.64583,71.6217,-38.0689,-50.1591,58.2291,86.5695,-67.4863,23.7736,-64.6614
0.65000,71.9823,-38.0377,-50.0696,58.2479,86.5687,-67.4868,23.8869,-64.5092
0.65417,72.1088,-38.0516,-49.9654,58.2731,86.5810,-67.4891,23.8973,-64.4205
0.65833,72.2551,-38.0705,-49.8809,58.2992,86.5886,-67.4910,23.9411,-64.3325
0.66250,72.5944,-38.0453,-49.7992,58.3264,86.6394,-67.4937,23.9755,-64.2167
0.66667,72.7282,-38.0639,-49.7145,58.3922,86.6352,-67.4955,24.0640,-64.0669
0.67083,72.9576,-38.0510,-49.6333,58.4240,86.6742,-67.4972,24.0830,-63.9920
0.67500,73.0927,-38.0734,-49.5590,58.4603,86.6884,-67.4992,24.1571,-63.8263
0.67917,73.3501,-38.0659,-49.4889,58.4796,86.7349,-67.5006,24.2125,-63.7212
0.68333,73.4711,-38.0808,-49.4092,58.4060,86.7560,-67.5020,24.1465,-63.7911
0.68750,73.5909,-38.1155,-49.3436,58.5286,86.7951,-67.5036,24.2935,-63.4952
0.69167,73.7017,-38.1403,-49.2849,58.4458,86.8341,-67.5053,24.2420,-63.5063
0.69583,73.8104,-38.1755,-49.2277,58.5420,86.8808,-67.5067,24.3676,-63.2815
0.70000,74.0378,-38.2049,-49.1792,58.5536,86.9321,-67.5080,24.4158,-63.1697
0.70417,74.1227,-38.2424,-49.1141,58.5721,86.9798,-67.5091,24.4552,-63.0561
0.70833,74.1902,-38.2655,-49.0652,58.5607,87.0209,-67.5106,24.4602,-62.9657
0.71250,74.2607,-38.3235,-49.0234,58.5484,87.0843,-67.5116,24.4807,-62.8668
0.71667,74.3048,-38.3555,-48.9870,58.5743,87.1231,-67.5124,24.5205,-62.7064
0.72083,74.3752,-38.4521,-48.9623,58.5642,87.1771,-67.5135,24.5460,-62.6174
0.72500,74.4285,-38.4920,-48.9108,58.4287,87.2161,-67.5148,24.4849,-62.6399
0.72917,74.4423,-38.5810,-48.8900,58.6245,87.2606,-67.5151,24.6024,-62.3427
0.73333,74.4871,-38.6285,-48.8469,58.5831,87.3082,-67.5164,24.5921,-62.2953
0.73750,74.5487,-38.8325,-48.7712,58.5574,87.3084,-67.5169,24.6228,-62.1851
0.74167,74.5741,-38.8528,-48.7355,58.5164,87.3456,-67.5181,24.6273,-62.0993
0.74583,74.5922,-38.8985,-48.7121,58.4826,87.3890,-67.5188,24.6327,-62.0139
0.75000,74.5971,-38.9506,-48.6861,58.5047,87.4254,-67.5192,24.6643,-61.8717
0.75417,74.5985,-39.0069,-48.6629,58.5786,87.4461,-67.5196,24.6827,-61.6853
0.75833,74.6108,-39.0718,-48.6391,58.5564,87.4689,-67.5203,24.6937,-61.6060
0.76250,74.6125,-39.1424,-48.6071,58.5449,87.4809,-67.5208,24.7013,-61.4968
0.76667,74.5998,-39.4379,-48.5188,58.5814,87.3874,-67.5211,24.7115,-61.3592
0.77083,74.6190,-39.4618,-48.5071,58.6333,87.4038,-67.5217,24.7221,-61.1994
0.77500,74.6459,-39.5026,-48.4748,58.6030,87.4361,-67.5217,24.7284,-61.1464
0.77917,74.6703,-39.5515,-48.4584,58.5566,87.4519,-67.5223,24.7222,-61.0861
0.78333,74.6822,-39.6060,-48.4443,58.7671,87.4610,-67.5226,24.7433,-60.8039
0.78750,74.7109,-39.6606,-48.4368,58.7234,87.4703,-67.5231,24.7475,-60.7278
0.79167,74.7187,-39.8511,-48.4270,58.8443,87.4361,-67.5232,24.7525,-60.5406
0.79583,74.7656,-39.8647,-48.3807,58.8352,87.4359,-67.5236,24.7518,-60.4710
0.80000,74.8014,-39.9127,-48.3796,58.8633,87.4474,-67.5239,24.7511,-60.3814
0.80417,74.8391,-39.9787,-48.3796,59.0470,87.4588,-67.5242,24.7601,-60.1326
0.80833,74.8677,-40.0160,-48.3710,59.1846,87.4663,-67.5240,24.7685,-59.9614
0.81250,74.9079,-40.1975,-48.3802,59.2855,87.4400,-67.5243,24.7688,-59.8047
0.81667,74.9658,-40.2055,-48.3443,59.3899,87.4367,-67.5245,24.7711,-59.6397
0.82083,75.0097,-40.2417,-48.3443,59.5491,87.4447,-67.5244,24.7741,-59.4566
0.82500,75.0738,-40.4168,-48.3131,59.6969,87.4153,-67.5245,24.7754,-59.2736
0.82917,75.1236,-40.4205,-48.3132,59.8750,87.4068,-67.5243,24.7789,-59.0869
0.83333,75.1683,-40.4453,-48.3227,59.9466,87.4179,-67.5246,24.7752,-58.9669
0.83750,75.2224,-40.5095,-48.3581,60.1569,87.4278,-67.5243,24.7809,-58.7405
0.84167,75.3195,-40.6697,-48.2964,60.2959,87.3847,-67.5243,24.7754,-58.5748
0.84583,75.3562,-40.6663,-48.3143,60.4499,87.3842,-67.5244,24.7778,-58.3980
