trial,var,name,SFC,MER,BR,min,max
set_004,8,Var 8: Elbow flexion (R),64.89298164985128,151.92240415141666,114.52937219824379,44.1786614473983,152.51655763088175
set_005,1,Var 1: Lead knee flexion (L),12.921308047777572,8.417255242334853,6.506689243526308,5.695927301995527,75.52569317422676
set_005,2,Var 2: Trunk forward tilt,-5.90765581472719,-8.741535336596586,-8.854830939008986,-27.025197847971175,2.9954712984427343
set_005,3,Var 3: Trunk lateral tilt,-9.412827903615682,-3.41711927541891,-1.6312725640953467,-26.7494321361732,15.756262125896065
set_005,4,Var 4: Trunk axial rotation,-9.713837540340874,-10.249338566345074,-5.909840675266443,-35.40549056896779,4.838261298919364
set_005,5,Var 5: Shoulder abduction (R),8.78307693652968,12.341348320693342,12.362918287039289,-16.0556465312086,66.42745762853264
set_005,6,Var 6: Shoulder horizontal abduction (R),-1.21529489814123,-0.3682106355825947,-0.3367043452861749,-32.80652377401942,26.637414219439183
set_005,7,Var 7: Shoulder long-axis rotation (R),-1.201041672436831,-0.3597017577810095,-0.3288964382962656,-21.664742441181097,20.805548585019793
set_005,8,Var 8: Elbow flexion (R),90.92117229657006,86.77157403130167,80.33317121626716,44.40152517805357,146.83319875366402
set_010,1,Var 1: Lead knee flexion (L),9.889113861692005,29.354339092108088,30.33023042326368,3.8219520515574272,83.5822588661808
set_010,2,Var 2: Trunk forward tilt,0.4323080172449072,-7.113721453552459,-9.240744828886793,-28.145005494483495,6.112372166522815
set_010,3,Var 3: Trunk lateral tilt,0.41575029116336226,-17.162472419464578,-24.408432383456503,-24.429233867333377,17.682919585629122
set_010,4,Var 4: Trunk axial rotation,0.017198953912631407,-1.3996291656078155,6.014446822655124,-34.07331817265434,6.061353074737827
set_010,5,Var 5: Shoulder abduction (R),0.2113375099372301,38.43430885283138,46.75674283587526,-10.14249123655232,72.33200100385899
set_010,6,Var 6: Shoulder horizontal abduction (R),0.26406156577073936,36.09083297804722,-32.73150045235503,-36.335302794379764,40.867631578365625
set_010,7,Var 7: Shoulder long-axis rotation (R),0.2640597694425374,27.47934578387012,-21.74239014791028,-22.432067585722333,27.47934578387012
set_010,8,Var 8: Elbow flexion (R),58.99014017411628,149.36797464026526,109.04361931663136,47.70160184068005,149.42751691891357
set_014,1,Var 1: Lead knee flexion (L),15.052221597897496,29.53461000253282,30.10433136673153,3.7566713904872193,72.64959034630357
set_014,2,Var 2: Trunk forward tilt,-3.0083244149678598e-15,-4.959762821153426,-9.571465493678051,-28.577697472113627,5.222430690986966
set_014,3,Var 3: Trunk lateral tilt,2.733846874045113e-15,-15.535178204452189,-25.94962143429207,-25.94962143429207,11.495368896117487
set_014,4,Var 4: Trunk axial rotation,3.915878084466257e-15,1.3060921808023984,8.835929484668238,-35.72839215459061,8.835929484668238
set_014,5,Var 5: Shoulder abduction (R),-2.249127870042151e-15,45.82453424826198,46.781395965756275,-6.512694367480021,75.88413064801449
set_014,6,Var 6: Shoulder horizontal abduction (R),-7.389321052425781e-16,33.00158472974361,-30.72376304944247,-38.77951026481811,38.504332238616364
set_014,7,Var 7: Shoulder long-axis rotation (R),-7.389321052425781e-16,22.305951584412167,-20.478488044012195,-20.525273125786047,22.305951584412167
set_014,8,Var 8: Elbow flexion (R),61.65861557927415,155.31577273742178,111.50462462918188,49.902960821486026,155.3314440949287
set_015,1,Var 1: Lead knee flexion (L),4.840924550334042,10.237111567680362,10.352832599741797,nan,nan
set_015,2,Var 2: Trunk forward tilt,-0.8690726390179659,7.4021571189295505,7.757141838721123,nan,nan
set_015,3,Var 3: Trunk lateral tilt,2.506030759179037,4.691538233074121,4.701342346961322,nan,nan
set_015,4,Var 4: Trunk axial rotation,-16.770236510655533,-19.244822647311853,-19.330238996619855,nan,nan
set_015,5,Var 5: Shoulder abduction (R),22.554301324820845,23.636287712959852,23.750992149479888,-6.26723356045077,74.83969036471981
set_015,6,Var 6: Shoulder horizontal abduction (R),-6.563742636792938,-0.06431329695883105,-0.08184928145190913,-32.8706346877399,37.467610377790564
set_015,7,Var 7: Shoulder long-axis rotation (R),-6.059765022794608,-0.05891798744875084,-0.0749170119031132,-19.30400193254732,23.93189974443034
set_015,8,Var 8: Elbow flexion (R),83.51648581197334,90.61974765257304,90.83244079074663,42.823041158261624,153.40165892588772
set_016,1,Var 1: Lead knee flexion (L),56.42177486148463,76.87880361185186,58.03713732682403,2.986484197700717,84.66847983494746
set_016,2,Var 2: Trunk forward tilt,8.830924383718585,-3.976181338369303,-8.0207650479909,-30.084053226541695,8.866519832387132
set_016,3,Var 3: Trunk lateral tilt,5.658833103174674,1.584036479851352,-6.1012227467201114,-26.585183494824296,10.073938814598455
set_016,4,Var 4: Trunk axial rotation,-9.702877574726395,-23.809474933287266,-12.063283884730247,-29.277611038137998,11.298314046688754
set_016,5,Var 5: Shoulder abduction (R),8.038319310344257,35.20068292054803,37.64994431489111,-6.3852812089189195,70.62395235839476
set_016,6,Var 6: Shoulder horizontal abduction (R),9.16535972770312,-9.853201850510578,-2.1370247527099746,-41.01999572796524,31.572794647014444
set_016,7,Var 7: Shoulder long-axis rotation (R),9.074543464917978,-8.038140788085737,-1.6918589156551713,-20.918674153852688,20.868062741980864
set_016,8,Var 8: Elbow flexion (R),61.46751144190601,63.55671468656598,117.15715263612935,56.4193697247203,154.75485332090716
set_017,1,Var 1: Lead knee flexion (L),12.675591200354432,28.591104759398185,35.86574239634003,2.4831566192313095,80.78732671225696
set_017,2,Var 2: Trunk forward tilt,1.1398221687369339,-7.036747821389939,-10.867112018242317,-30.349327066280896,10.409753062659691
set_017,3,Var 3: Trunk lateral tilt,0.8583394301375161,-14.533253576387537,-25.576971291956955,-25.576971291956955,15.77865148004469
set_017,4,Var 4: Trunk axial rotation,-0.2727333878342342,1.4348130717409944,11.799065076969091,-31.33547385532459,11.799065076969091
set_017,5,Var 5: Shoulder abduction (R),0.2705249214266891,38.683372930482435,46.7848533868273,-10.405451374610287,70.16524458633774
