time,vicon_var1,vicon_var2,vicon_var3,vicon_var5,vicon_var4,vicon_var6,vicon_var7,vicon_var8,opensim_var1,opensim_var2,opensim_var3,opensim_var5,opensim_var4,opensim_var6,opensim_var7,opensim_var8,cardA_var1,cardA_var2,cardA_var3,cardA_var5,cardA_var4,cardA_var6,cardA_var7,cardA_var8,cardB_var1,cardB_var2,cardB_var3,cardB_var5,cardB_var4,cardB_var6,cardB_var7,cardB_var8
0.12500,39.683,-1.255,22.320,102.600,11.508,78.568,11.862,-2.985,57.770,-29.854,-46.261,73.082,58.762,-64.017,21.988,-69.332,156.484,-180.000,5.049,-14.610,15.586,1.777,6.943,-2.038,156.484,-180.000,5.049,-14.610,13.255,1.777,6.943,-2.038
0.12917,39.671,-1.181,22.353,102.684,11.598,78.591,11.884,-2.965,57.806,-29.676,-46.458,73.335,58.753,-64.024,21.972,-69.316,156.468,-180.000,5.107,-14.724,15.703,1.755,6.983,-2.047,156.468,-180.000,5.107,-14.724,13.352,1.755,6.983,-2.047
0.13333,39.650,-1.112,22.385,102.769,11.665,78.616,11.902,-2.945,57.731,-30.089,-46.358,73.182,58.742,-64.115,21.860,-69.315,156.451,180.000,5.159,-14.838,15.802,1.731,7.021,-2.060,156.451,180.000,5.159,-14.838,13.432,1.731,7.021,-2.060
0.13750,39.620,-1.048,22.415,102.857,11.708,78.642,11.918,-2.925,57.769,-30.230,-46.362,73.181,58.734,-64.118,21.857,-69.299,156.434,180.000,5.207,-14.952,15.882,1.707,7.059,-2.080,156.434,180.000,5.207,-14.952,13.495,1.707,7.059,-2.080
0.14167,39.580,-0.988,22.444,102.946,11.726,78.669,11.930,-2.907,57.789,-30.314,-46.458,73.279,58.783,-64.513,21.852,-69.204,156.416,-180.000,5.248,-15.066,15.942,1.684,7.094,-2.105,156.416,-180.000,5.248,-15.066,13.540,1.684,7.094,-2.105
0.14583,39.530,-0.932,22.472,103.037,11.721,78.697,11.938,-2.889,57.792,-30.296,-46.582,73.390,58.787,-64.605,21.817,-69.171,156.399,-180.000,5.285,-15.180,15.983,1.661,7.126,-2.137,156.399,-180.000,5.285,-15.180,13.566,1.661,7.126,-2.137
0.15000,39.471,-0.881,22.497,103.129,11.693,78.726,11.943,-2.872,57.869,-30.451,-46.609,73.414,58.770,-64.664,21.763,-69.132,156.381,180.000,5.316,-15.295,16.003,1.639,7.157,-2.175,156.381,180.000,5.316,-15.295,13.575,1.639,7.157,-2.175
0.15417,39.402,-0.834,22.521,103.223,11.643,78.756,11.944,-2.855,58.082,-30.491,-46.688,73.502,58.735,-64.709,21.686,-69.111,156.363,180.000,5.342,-15.410,16.004,1.620,7.185,-2.219,156.363,180.000,5.342,-15.410,13.566,1.620,7.185,-2.219
0.15833,39.324,-0.789,22.542,103.319,11.572,78.786,11.942,-2.840,58.160,-30.528,-46.753,73.542,58.697,-64.751,21.629,-69.092,156.345,-180.000,5.364,-15.525,15.986,1.603,7.211,-2.269,156.345,-180.000,5.364,-15.525,13.540,1.603,7.211,-2.269
0.16250,39.237,-0.748,22.562,103.417,11.481,78.817,11.936,-2.826,58.437,-30.589,-46.757,73.573,58.657,-64.792,21.568,-69.067,156.327,-180.000,5.382,-15.639,15.949,1.589,7.234,-2.323,156.327,-180.000,5.382,-15.639,13.497,1.589,7.234,-2.323
0.16667,39.142,-0.709,22.579,103.517,11.373,78.847,11.927,-2.813,58.574,-30.708,-46.855,73.636,58.599,-64.819,21.501,-69.051,156.309,-180.000,5.398,-15.753,15.895,1.579,7.255,-2.383,156.309,-180.000,5.398,-15.753,13.438,1.579,7.255,-2.383
0.17083,39.041,-0.671,22.595,103.619,11.250,78.877,11.915,-2.800,58.852,-30.639,-46.905,73.727,58.554,-64.835,21.465,-69.014,156.291,180.000,5.410,-15.864,15.824,1.572,7.273,-2.446,156.291,180.000,5.410,-15.864,13.366,1.572,7.273,-2.446
0.17500,38.933,-0.634,22.608,103.724,11.115,78.907,11.900,-2.789,58.645,-30.750,-46.975,73.757,58.508,-64.934,21.432,-68.984,156.274,-180.000,5.421,-15.973,15.739,1.570,7.289,-2.512,156.274,-180.000,5.421,-15.973,13.281,1.570,7.289,-2.512
0.17917,38.821,-0.597,22.620,103.831,10.970,78.936,11.883,-2.778,58.947,-30.767,-47.017,73.794,58.442,-64.926,21.340,-68.996,156.257,-180.000,5.431,-16.078,15.642,1.572,7.303,-2.581,156.257,-180.000,5.431,-16.078,13.185,1.572,7.303,-2.581
0.18333,38.704,-0.560,22.630,103.941,10.817,78.965,11.864,-2.768,59.197,-30.795,-47.087,73.888,58.406,-64.985,21.325,-68.962,156.241,-180.000,5.441,-16.178,15.535,1.579,7.316,-2.650,156.241,-180.000,5.441,-16.178,13.081,1.579,7.316,-2.650
0.18750,38.585,-0.522,22.639,104.053,10.661,78.994,11.844,-2.758,59.466,-30.806,-47.120,73.960,58.350,-65.004,21.265,-68.951,156.225,-180.000,5.451,-16.272,15.420,1.591,7.326,-2.719,156.225,-180.000,5.451,-16.272,12.970,1.591,7.326,-2.719
0.19167,38.464,-0.482,22.646,104.169,10.504,79.021,11.821,-2.748,59.320,-30.852,-47.232,74.043,58.287,-65.085,21.234,-68.935,156.210,180.000,5.463,-16.360,15.299,1.607,7.335,-2.787,156.210,180.000,5.463,-16.360,12.855,1.607,7.335,-2.787
0.19583,38.343,-0.440,22.652,104.287,10.349,79.049,11.798,-2.739,59.668,-30.846,-47.261,74.114,58.227,-65.101,21.186,-68.941,156.197,-180.000,5.476,-16.441,15.176,1.627,7.342,-2.853,156.197,-180.000,5.476,-16.441,12.739,1.627,7.342,-2.853
